72,10,38,56,84,2
73,76,33,68,32,38
11,1,22,26,99,61
16,19,35,15,51,1
26,59,46,16,35,77
90,58,50,72,63,43
51,17,95,75,50,11
66,70,77,97,41,1
78,14,16,45,60,15
29,26,9,94,74,45
58,42,53,40,77,52
22,37,52,31,57,44
5,40,76,72,55,22
7,38,20,37,72,37
42,31,45,13,62,73
91,55,40,13,62,59
47,8,24,73,42,48
80,34,71,49,78,40
38,21,26,29,92,88
93,23,21,31,73,25
19,68,14,15,41,21
24,14,80,50,79,36
71,49,61,73,61,18
2,74,51,77,75,21
83,82,32,39,55,13
22,4,23,3,7,30
10,81,7,72,9,62
63,55,37,41,48,53
73,20,6,64,20,4
79,31,4,62,43,4
63,81,89,79,35,46
10,83,54,35,49,59
81,8,78,15,65,34
98,17,2,85,32,26
65,22,64,28,82,97
49,94,18,85,28,54
84,99,33,18,82,81
80,71,98,47,39,40
89,26,49,42,86,85
11,23,28,68,86,66
68,66,15,27,28,83
84,90,46,16,33,45
37,86,56,65,10,87
86,35,18,87,96,88
7,84,24,20,66,36
56,63,82,22,69,67
89,90,91,69,2,27
14,70,91,47,54,14
89,34,30,92,63,87
19,83,3,11,16,47
96,93,60,94,17,28
72,65,53,95,35,21
38,36,78,57,97,56
99,12,1,67,74,57
50,58,75,73,25,14
13,37,62,11,71,9
5,25,5,19,93,92
74,1,35,45,51,34
88,46,92,64,8,91
95,79,68,8,26,80
33,66,70,44,64,16
69,51,32,27,7,47
64,43,58,65,31,46
61,67,49,50,62,67
2,64,90,20,44,37
97,25,15,68,48,30
18,70,75,59,74,71
6,8,48,17,68,58
44,45,24,98,99,69
95,66,50,80,12,96
16,4,94,10,46,42
53,28,9,77,3,44
6,9,19,20,9,18
55,65,36,94,36,85
31,21,27,88,98,99
53,36,79,60,81,53
78,71,24,40,6,32
48,13,12,61,33,5
38,39,46,67,48,97
75,78,74,87,95,98
18,3,2,1,48,46
76,22,25,1,6,34
35,20,96,76,82,84
63,77,11,70,78,30
58,17,83,69,90,43
42,10,79,88,51,33
72,30,72,26,43,78
6,44,13,79,12,2
98,99,98,76,38,43
35,59,2,11,41,70
34,93,10,23,47,4
80,52,76,38,29,6
73,27,89,41,51,99
44,56,77,73,86,41
6,25,2,49,79,87
50,31,85,88,25,71
89,4,68,40,95,43
22,13,80,62,11,39
43,4,91,84,64,29
61,70,80,29,51,25
64,49,7,13,54,31
12,40,83,28,3,79
78,75,76,54,52,92
78,63,32,93,23,13
65,11,10,8,21,59
60,14,21,54,20,61
82,54,49,26,54,77
80,9,54,12,33,94
85,50,3,53,98,55
40,62,73,48,29,50
41,81,32,14,38,90
20,81,12,5,96,14
84,19,53,21,38,56
60,27,82,56,84,51
39,23,15,55,39,57
81,45,64,17,34,86
18,75,56,1,83,28
36,47,84,19,99,33
3,10,87,37,42,66
67,97,8,71,88,23
5,11,85,17,52,56
52,10,86,45,91,89
81,52,55,40,24,72
93,37,57,69,85,3
85,39,22,58,44,39
50,63,65,5,90,18
66,27,83,71,70,68
57,53,21,74,19,65
91,89,76,20,86,30
12,9,53,23,22,16
65,4,34,41,8,25
57,24,30,66,2,54
6,38,24,29,6,67
17,28,80,7,31,92
88,75,77,76,87,9
92,57,26,33,91,27
89,66,82,81,14,79
90,84,87,55,60,82
75,88,57,91,52,90
95,92,83,9,48,82
92,58,7,36,67,32
5,67,15,60,49,85
17,27,93,94,46,96
69,45,97,94,93,69
12,47,5,72,88,68
99,55,86,8,42,87
25,86,44,20,34,90
60,93,98,99,87,22
46,42,58,24,96,48
18,92,68,17,33,83
1,59,94,50,69,91
89,95,8,32,51,36
96,61,49,59,97,96
61,16,19,34,43,27
7,64,62,74,93,36
23,36,41,4,77,52
67,60,45,59,97,16
60,5,15,37,70,43
15,97,62,12,56,33
30,51,30,69,29,70
74,3,1,24,94,57
58,47,13,39,28,59
95,63,70,39,32,52
3,98,99,30,23,4
61,19,71,31,76,44
1,29,41,7,74,95
47,14,63,69,42,17
35,75,29,96,34,24
1008
