101,92,74,53,84,22
34,93,62,80,78,41
125,59,29,26,14,126
37,71,21,102,105,112
58,54,103,7,37,13
90,60,105,89,18,118
15,110,98,16,81,17
122,46,45,89,66,86
67,61,64,33,4,68
83,66,64,54,67,66
106,2,52,128,83,56
81,28,83,43,41,76
22,51,8,92,39,59
111,87,84,61,78,60
87,4,1,111,115,35
123,40,55,93,19,36
56,33,49,68,127,124
82,27,101,30,79,76
27,50,60,33,10,81
104,12,91,19,65,8
63,5,17,110,137,108
18,63,99,3,27,55
12,93,126,27,82,37
15,38,130,15,96,32
60,25,40,53,31,129
72,132,35,131,65,64
18,20,136,5,36,64
29,92,51,21,88,81
59,12,51,62,9,36
92,86,109,20,15,66
50,115,26,103,90,133
78,15,23,130,62,26
90,56,28,18,129,133
140,19,102,59,82,22
70,21,28,90,95,67
64,20,26,134,58,100
109,12,84,86,19,137
43,14,55,44,16,4
76,14,79,49,85,55
45,108,35,84,91,48
88,113,96,78,1,8
20,33,94,107,110,139
22,31,63,52,78,62
20,6,63,34,114,95
37,96,65,63,5,4
27,16,57,48,24,69
37,61,11,85,44,108
127,17,36,45,86,23
108,15,59,12,57,125
61,66,107,87,30,64
26,76,142,104,60,95
17,107,135,16,100,92
51,85,37,20,94,65
17,66,94,138,118,7
125,43,105,95,56,23
109,13,2,11,24,14
7,95,107,117,143,89
138,119,31,78,97,53
139,97,13,115,94,144
143,60,20,98,96,97
15,29,48,3,12,16
114,62,142,44,106,53
14,65,84,112,41,87
63,33,25,21,85,60
61,68,70,116,88,9
15,47,77,109,135,107
72,71,116,43,54,84
22,50,10,62,53,58
98,70,77,60,118,120
43,141,108,121,8,50
12,48,84,106,29,68
62,59,91,123,109,87
45,114,128,43,25,131
103,117,142,134,86,95
10,63,118,83,12,70
1,91,113,40,67,48
18,92,33,89,61,16
119,122,34,134,30,141
124,65,98,31,14,27
52,51,88,3,49,83
73,123,64,88,93,31
143,144,87,16,58,55
71,83,57,79,126,127
50,64,36,43,110,67
17,99,125,128,140,11
58,72,91,58,61,29
75,25,86,90,94,50
101,37,16,86,88,33
25,57,93,107,125,60
129,40,120,62,51,56
52,94,132,133,47,52
98,72,100,19,39,26
99,50,130,30,46,2
