33,11,63,70
76,82,81,54
23,31,73,13
55,33,42,78
31,35,40,81
76,15,6,71
19,49,1,27
82,26,24,56
76,72,78,34
72,32,60,39
43,14,34,79
25,22,80,57
50,32,7,8
12,21,79,75
72,16,25,74
80,78,77,40
66,41,46,44
75,61,42,3
20,67,26,58
46,14,9,52
69,2,30,57
6,64,14,30
52,73,2,37
81,3,54,36
56,82,81,50
30,82,81,33
1,79,16,18
60,75,4,77
22,12,78,45
1,2,24,18
65,11,26,8
80,55,36,23
53,27,5,1
33,8,32,33
23,26,60,24
80,76,66,74
58,27,48,36
48,64,31,27
20,45,17,43
47,16,63,24
8,52,65,13
63,65,3,35
67,12,79,82
37,43,18,26
82,42,12,52
1,2,23,49
3,28,37,14
39,35,47,10
66,44,16,22
9,11,30,6
32,29,7,29
59,38,34,45
28,27,68,60
32,55,57,64
79,10,61,6
72,17,61,41
68,14,62,28
50,41,70,36
14,30,10,6
18,40,62,8
45,51,29,4
60,7,22,46
13,73,23,44
53,74,71,78
18,38,42,21
9,53,54,4
34,65,20,11
59,67,44,51
75,8,42,17
3,25,57,3
76,62,50,41
47,49,31,39
13,30,77,69
3,1,27,20
56,6,58,29
55,26,5,41
55,54,53,15
80,8,23,9
2,36,15,37
49,21,15,79
4,49,35,4
56,24,47,45
82,54,19,46
21,15,58,48
80,56,46,65
48,41,52,34
24,1,59,48
28,2,50,31
19,68,29,32
59,71,66,25
59,23,55,40
49,42,16,14
17,24,57,58
26,39,50,40
44,13,17,28
59,64,10,52
51,36,43,20
72,61,11,61
69,45,51,18
67,76,62,60
65,64,73,45
44,60,65,71
68,66,53,62
12,51,64,11
13,4,5,35
57,58,69,70
7,20,63,77
70,9,19,21
5,67,37,33
61,37,54,34
29,61,72,57
73,21,7,16
2,10,22,75
43,35,47,52
63,38,53,54
50,38,22,69
38,72,21,78
31,75,15,51
47,19,28,44
25,53,78,81
35,74,43,76
28,46,63,40
10,66,70,18
68,7,31,81
11,39,27,4
32,64,19,82
63,5,46,56
10,77,68,55
67,59,69,62
12,70,25,42
80,19,66,69
71,20,15,75
38,6,58,5
9,73,7,5
13,16,73,37
70,34,42,74
33,71,38,68
36,40,48,77
9,79,17,39
49,17,30,67
48,25,71,47
12,29,56,51
22,74,77,62
43,41,74,39
575
