85,117,188,190
167,118,90,50
14,32,191,76
40,5,78,149
144,13,127,145
93,30,87,18
154,144,59,105
118,131,13,52
138,45,64,88
56,137,196,168
67,115,146,150
152,38,62,108
120,49,108,84
73,25,166,51
192,68,151,195
1,43,140,130
170,75,88,72
193,92,120,194
78,106,12,88
132,91,36,79
100,98,110,58
132,48,97,3
121,6,141,92
186,85,172,36
51,47,28,40
121,42,1,35
98,191,99,71
4,46,126,195
196,149,43,86
23,134,155,54
25,114,112,169
128,133,69,99
49,48,101,124
34,16,75,18
53,24,44,22
131,96,130,150
2,26,9,158
82,171,63,156
136,33,35,74
78,3,81,121
98,91,58,81
174,176,5,159
52,173,97,20
50,109,124,121
73,100,75,157
27,158,72,152
143,2,160,79
160,119,115,81
38,63,153,107
102,78,86,161
159,37,52,162
74,63,165,115
81,28,119,21
54,65,27,17
95,19,195,196
109,161,105,101
54,146,155,123
103,80,10,139
57,175,124,106
31,89,4,145
164,99,89,148
166,57,166,162
76,144,61,151
60,105,61,15
163,112,72,70
7,87,84,70
138,84,22,46
15,163,126,168
1,29,177,179
57,31,167,2
42,31,79,35
39,77,129,46
62,21,104,183
101,19,44,106
5,71,85,59
142,27,125,167
27,168,66,12
94,10,87,67
146,69,40,9
15,125,103,165
17,4,150,170
169,28,61,45
110,30,45,96
109,112,45,24
120,32,108,22
154,142,148,80
164,136,10,58
123,74,8,65
19,92,181,123
149,127,69,7
111,41,178,38
68,8,125,135
173,143,151,140
2,153,156,176
47,91,171,170
66,117,17,96
41,15,123,43
90,173,82,44
103,175,147,50
36,23,65,140
104,154,127,25
114,96,13,129
122,6,174,171
158,95,177,180
182,102,67,128
11,153,30,16
152,37,184,26
113,130,172,83
14,21,35,119
169,67,83,57
185,7,20,125
39,108,86,129
106,176,56,188
71,44,52,175
180,41,137,128
9,80,107,6
172,77,101,42
9,189,66,38
76,109,186,137
24,177,34,114
131,111,187,97
51,116,70,134
60,155,93,39
118,134,126,68
66,116,174,56
16,120,64,122
17,74,115,29
20,37,3,102
42,33,93,70
69,179,181,143
3,142,37,62
124,77,60,11
178,104,34,156
11,190,55,100
6,80,182,93
147,180,192,30
107,162,110,184
97,118,68,160
41,138,95,185
87,133,159,49
193,178,7,95
161,19,82,141
102,157,31,29
53,40,20,47
32,122,116,64
12,23,94,111
10,186,139,126
191,105,89,85
43,34,21,107
73,60,75,4
132,183,59,113
47,92,23,142
94,133,144,12
179,194,48,119
48,116,196,73
100,91,111,63
113,36,33,122
29,49,114,110
8,141,113,18
16,187,26,86
127,32,99,181
147,182,55,184
90,25,90,140
188,28,145,76
189,83,53,11
88,5,163,13
146,89,148,103
64,135,56,139
143,135,84,164
193,59,55,22
72,165,82,83
18,53,117,136
46,14,117,77
8,190,14,98
39,55,26,24
185,65,187,94
157,61,58,192
51,141,112,194
183,1,79,71
62,189,104,145
720
