21,9,32,33,10,45
53,21,18,34,33,22
4,56,18,4,24,13
27,26,4,16,17,9
21,40,6,8,24,58
19,44,15,17,60,61
7,3,29,43,15,44
31,43,49,45,47,60
25,45,47,48,43,48
50,15,34,17,34,44
59,24,46,51,48,59
11,57,10,19,49,6
31,18,13,44,49,10
22,20,52,43,44,33
61,60,6,37,51,15
36,50,16,61,42,31
27,34,21,35,52,16
51,47,55,38,53,28
50,2,10,41,12,11
26,40,55,6,35,46
54,2,53,7,14,37
10,46,26,39,40,30
51,45,1,2,7,25
11,17,2,1,32,26
17,56,8,58,39,52
11,54,37,28,59,38
15,14,57,14,23,20
29,37,19,38,13,24
27,5,23,61,60,23
16,13,53,26,46,15
42,51,4,40,8,41
23,25,29,36,22,14
39,5,50,46,5,45
57,20,54,24,25,40
9,18,23,28,8,36
12,54,9,3,56,31
56,25,47,16,43,20
58,33,46,12,5,8
6,61,48,31,18,49
48,1,2,33,27,60
10,17,6,49,42,31
50,59,5,28,34,32
42,51,30,53,27,47
52,1,44,55,56,35
18,28,16,4,21,53
38,30,52,54,37,9
39,57,12,3,42,45
55,32,30,41,57,5
55,38,58,27,1,3
20,14,25,40,33,29
13,58,43,4,3,32
22,19,24,58,6,31
19,20,56,41,34,30
57,52,59,42,28,32
7,39,22,38,7,23
7,3,8,35,30,50
48,30,54,9,47,41
61,60,12,14,41,4
11,49,36,35,23,19
35,32,26,22,1,2
21,41,39,13,55,12
59,42,36,11,37,36
43,29,2,61,29,1
378
